time,open,high,low,close,Fast_MA,Slow_MA,Crossover,Bias,Market_bias,ltf_bias,Range,Entry,Level,SL,TP
2024-11-27 08:00:00,0.58643,0.59004,0.5864,0.58907,0.5862736000000001,0.5933379999999999,0.0,Bearish,Bearish,Bearish,0.0025298000000000265,Sell,0.56063,0.56363,0.55063
2024-11-27 12:00:00,0.58907,0.59045,0.58792,0.59043,0.586357,0.5932470666666667,0.0,Bearish,Bearish,Bearish,0.0030345999999999984,Sell,0.56008,0.56308,0.55008
2024-11-27 16:00:00,0.59044,0.59077,0.58917,0.59026,0.5864494,0.5931765999999999,0.0,Bearish,Bearish,Bearish,0.002627799999999958,Sell,0.56044,0.56344,0.55044
2024-11-27 20:00:00,0.59027,0.59065,0.58923,0.58924,0.5865148,0.5931115333333333,0.0,Bearish,Bearish,Bearish,0.0023556000000000132,Sell,0.56065,0.56365,0.55065
2024-11-28 00:00:00,0.58925,0.59045,0.58666,0.59014,0.586573,0.5930373333333333,0.0,Bearish,Bearish,Bearish,0.001981400000000022,Sell,0.56096,0.56396,0.55096
2024-11-28 04:00:00,0.59016,0.5902,0.58868,0.58922,0.5866448000000001,0.5929646,0.0,Bearish,Bearish,Bearish,0.000985600000000031,Sell,0.56185,0.56485,0.55185
2024-11-28 08:00:00,0.58923,0.58928,0.58801,0.58893,0.5867013999999999,0.5928825333333334,0.0,Bearish,Bearish,Bearish,0.00040879999999998695,Sell,0.56236,0.56536,0.55236
2024-12-03 20:00:00,0.5888,0.58916,0.5873,0.58751,0.5872658,0.5915770666666667,0.0,Bearish,Bearish,Bearish,0.002683000000000102,Sell,0.5597,0.5627,0.5497
2024-12-04 00:00:00,0.58752,0.5884,0.58635,0.58644,0.5872613999999999,0.5915148,0.0,Bearish,Bearish,Bearish,0.0025236000000000702,Sell,0.5598,0.5628,0.5498
2024-12-04 04:00:00,0.58644,0.58677,0.58308,0.58576,0.5872607999999999,0.5914431333333333,0.0,Bearish,Bearish,Bearish,0.0022016000000000258,Sell,0.56004,0.56304,0.55004
2024-12-04 08:00:00,0.58577,0.58639,0.5839,0.58419,0.58726,0.5913755333333334,0.0,Bearish,Bearish,Bearish,0.0034216000000000246,Sell,0.55877,0.56177,0.54877
2024-12-04 12:00:00,0.5842,0.58441,0.58287,0.5836,0.5872516,0.5912773333333333,0.0,Bearish,Bearish,Bearish,0.004439599999999988,Sell,0.55767,0.56067,0.54767
2024-12-05 04:00:00,0.58636,0.58725,0.5862,0.58722,0.5874048,0.5909388,0.0,Bearish,Bearish,Bearish,0.004833399999999988,Sell,0.55659,0.55959,0.54659
2024-12-05 20:00:00,0.58712,0.58872,0.58617,0.58794,0.587556,0.5906817333333333,0.0,Bearish,Bearish,Bearish,0.004907600000000012,Sell,0.55586,0.55886,0.54586
2024-12-06 00:00:00,0.58771,0.58883,0.58623,0.5864,0.5875842,0.5906165999999999,0.0,Bearish,Bearish,Bearish,0.0028175999999999757,Sell,0.55781,0.56081,0.54781
2024-12-06 08:00:00,0.58594,0.58603,0.58479,0.58512,0.5876624,0.5904712666666666,0.0,Bearish,Bearish,Bearish,0.00018860000000009425,Sell,0.56041,0.56341,0.55041
2024-12-06 16:00:00,0.58692,0.587,0.58214,0.58257,0.5877874,0.5903172000000001,0.0,Bearish,Bearish,Bearish,0.0015408000000000088,Sell,0.55908,0.56208,0.54908
2024-12-06 20:00:00,0.58257,0.58338,0.58209,0.58277,0.5877538,0.5902251333333333,0.0,Bearish,Bearish,Bearish,0.0015340000000000353,Sell,0.55904,0.56204,0.54904
2024-12-09 00:00:00,0.58311,0.58395,0.5825,0.5832,0.5877218,0.5901362666666667,0.0,Bearish,Bearish,Bearish,0.00022820000000001173,Sell,0.56029,0.56329,0.55029
2024-12-09 04:00:00,0.58322,0.58371,0.5804,0.58079,0.5877452,0.5900270666666666,0.0,Bearish,Bearish,Bearish,0.0002525999999999362,Sell,0.56025,0.56325,0.55025
2024-12-09 08:00:00,0.5808,0.58675,0.58064,0.58596,0.5876946,0.5898964666666667,0.0,Bearish,Bearish,Bearish,0.0008099999999999774,Sell,0.55971,0.56271,0.54971
2024-12-19 04:00:00,0.56236,0.56315,0.56184,0.56241,0.5780886,0.5840841999999999,0.0,Bearish,Bullish,Bullish,0.004029399999999961,Buy,0.56794,0.56494,0.57794
2024-12-19 08:00:00,0.56238,0.56582,0.56218,0.56575,0.5776814,0.5839267333333333,0.0,Bearish,Bullish,Bullish,0.004681399999999947,Buy,0.56877,0.56577,0.57877
2024-12-19 12:00:00,0.56576,0.56613,0.56481,0.56525,0.5773324,0.5837938,0.0,Bearish,Bullish,Bullish,0.004841800000000007,Buy,0.5691,0.5661,0.5791000000000001
2024-12-19 16:00:00,0.56527,0.56617,0.56398,0.56407,0.5770216,0.5836542666666666,0.0,Bearish,Bullish,Bullish,0.004854799999999937,Buy,0.56929,0.56629,0.57929
2024-12-19 20:00:00,0.56406,0.56457,0.56237,0.56242,0.5765838,0.5834973999999999,0.0,Bearish,Bullish,Bullish,0.0034631999999999996,Buy,0.56809,0.56509,0.57809
2024-12-20 00:00:00,0.56256,0.56324,0.56124,0.56289,0.5760754,0.5833479333333333,0.0,Bearish,Bullish,Bullish,0.0042879999999999585,Buy,0.56904,0.56604,0.57904
2024-12-20 04:00:00,0.56288,0.56312,0.56203,0.56242,0.5755844,0.5832012,0.0,Bearish,Bullish,Bullish,0.0009589999999999321,Buy,0.5658,0.5628,0.5758
2024-12-20 08:00:00,0.56242,0.56456,0.56201,0.56355,0.575114,0.5830452666666667,0.0,Bearish,Bullish,Bullish,0.00099680000000002,Buy,0.56593,0.56293,0.57593
2024-12-20 12:00:00,0.56355,0.56494,0.56271,0.56386,0.5746928,0.5828889999999999,0.0,Bearish,Bullish,Bullish,0.0009966000000000141,Buy,0.56602,0.56302,0.57602
2024-12-20 20:00:00,0.56625,0.5668,0.56493,0.56519,0.5739856,0.5826038666666666,0.0,Bearish,Bullish,Bullish,0.0010971999999999094,Buy,0.5663,0.5633,0.5763
2024-12-23 00:00:00,0.56476,0.56569,0.56384,0.56549,0.573656,0.5824625333333333,0.0,Bearish,Bullish,Bullish,0.0012174000000000351,Buy,0.56654,0.56354,0.57654
2024-12-23 04:00:00,0.56548,0.56596,0.56506,0.56584,0.5733774,0.5823221999999999,0.0,Bearish,Bullish,Bullish,0.00022919999999992946,Buy,0.5657,0.5627,0.5757
2024-12-23 08:00:00,0.56584,0.56605,0.56447,0.56568,0.5731058,0.582188,0.0,Bearish,Bullish,Bullish,0.0009306000000000036,Buy,0.56649,0.56349,0.5764900000000001
2024-12-31 20:00:00,0.55913,0.55986,0.55878,0.55888,0.5638192,0.5769139999999999,0.0,Bearish,Bullish,Bullish,0.003816400000000053,Buy,0.56864,0.56564,0.57864
2025-01-02 00:00:00,0.55872,0.56157,0.55819,0.56146,0.5635588,0.5767614,0.0,Bearish,Bullish,Bullish,0.0039247999999999506,Buy,0.56872,0.56572,0.57872
2025-01-02 04:00:00,0.56146,0.56209,0.56114,0.56142,0.5635526,0.5766109333333332,0.0,Bearish,Bullish,Bullish,0.0017220000000000013,Buy,0.56646,0.56346,0.57646
2025-01-02 08:00:00,0.56142,0.5624,0.56038,0.56183,0.5635338,0.5764587333333334,0.0,Bearish,Bullish,Bullish,0.0009561999999999626,Buy,0.56561,0.5626099999999999,0.57561
2025-01-02 12:00:00,0.56183,0.56211,0.56018,0.56107,0.5635222,0.5763084666666668,0.0,Bearish,Bullish,Bullish,0.0010628000000000304,Buy,0.56567,0.56267,0.57567
2025-01-02 16:00:00,0.56108,0.56157,0.55904,0.55938,0.5634286000000001,0.5761687333333333,0.0,Bearish,Bullish,Bullish,0.002934800000000015,Buy,0.56748,0.56448,0.57748
2025-01-02 20:00:00,0.55937,0.55963,0.55864,0.55893,0.5633112,0.5760091333333334,0.0,Bearish,Bullish,Bullish,0.002837200000000095,Buy,0.56735,0.56435,0.57735
2025-01-03 00:00:00,0.55903,0.56073,0.5585,0.55999,0.5632084,0.5758194666666667,0.0,Bearish,Bullish,Bullish,0.003925999999999985,Buy,0.5684,0.5654,0.5784
2025-01-03 04:00:00,0.55998,0.56104,0.55991,0.56063,0.5631598,0.5756433333333334,0.0,Bearish,Bullish,Bullish,0.0029898000000000424,Buy,0.56747,0.56447,0.57747
2025-01-03 08:00:00,0.56061,0.56102,0.55928,0.56008,0.5631146,0.5754537333333334,0.0,Bearish,Bullish,Bullish,0.004141200000000067,Buy,0.56859,0.56559,0.57859
2025-01-03 12:00:00,0.56007,0.56086,0.55977,0.56044,0.5630678,0.5752514000000001,0.0,Bearish,Bullish,Bullish,0.0021554000000000295,Buy,0.56666,0.56366,0.5766600000000001
2025-01-03 16:00:00,0.56045,0.56133,0.55931,0.56065,0.5630056,0.5750526,0.0,Bearish,Bullish,Bullish,0.0006808000000000369,Buy,0.5652,0.5622,0.5752
2025-01-03 20:00:00,0.56064,0.56129,0.56039,0.56096,0.5629414,0.574862,0.0,Bearish,Bullish,Bullish,0.0011271999999999949,Buy,0.56563,0.56263,0.57563
2025-01-06 04:00:00,0.56185,0.56273,0.56134,0.56236,0.5627688,0.5744849999999999,0.0,Bearish,Bullish,Bullish,0.0012281999999999016,Buy,0.5657,0.5627,0.5757
2025-01-06 08:00:00,0.56235,0.5643,0.56218,0.56355,0.5627062,0.5743078666666667,0.0,Bearish,Bullish,Bullish,0.0013050000000000006,Buy,0.56576,0.56276,0.57576
2025-01-06 12:00:00,0.56355,0.56842,0.5626,0.56743,0.5626604000000001,0.5741396000000001,0.0,Bearish,Bullish,Bullish,0.0012438000000000171,Buy,0.5657,0.5627,0.5757
2025-01-06 16:00:00,0.56746,0.56797,0.56343,0.56395,0.5626954,0.5739954,0.0,Bearish,Bullish,Bullish,0.00030959999999990995,Buy,0.56475,0.56175,0.57475
2025-01-07 04:00:00,0.56461,0.56695,0.56461,0.56668,0.5626942,0.5734777333333333,0.0,Bearish,Bullish,Bullish,8.619999999992523e-05,Buy,0.5645,0.5615,0.5745
2025-01-07 08:00:00,0.56667,0.56874,0.56615,0.5686,0.5627445999999999,0.5733133333333333,0.0,Bearish,Bullish,Bullish,0.00021959999999998647,Buy,0.56461,0.5616099999999999,0.57461
2025-01-07 12:00:00,0.5686,0.56888,0.56687,0.56706,0.5628232,0.5731600666666666,0.0,Bearish,Bullish,Bullish,0.0002173999999999232,Buy,0.56458,0.56158,0.57458
2025-01-07 16:00:00,0.56706,0.56707,0.56363,0.56454,0.5628858,0.5729924666666667,0.0,Bearish,Bullish,Bullish,0.0008469999999999311,Buy,0.56521,0.56221,0.57521
2025-01-14 00:00:00,0.55778,0.56169,0.55736,0.56093,0.560565,0.5680594666666667,0.0,Bearish,Bullish,Bullish,0.004037999999999986,Buy,0.57129,0.56829,0.58129
2025-01-14 04:00:00,0.56093,0.56116,0.55958,0.56041,0.5605986000000001,0.5678927333333333,0.0,Bearish,Bullish,Bullish,0.0035169999999999924,Buy,0.57081,0.56781,0.58081
2025-01-14 08:00:00,0.56041,0.56307,0.56031,0.56104,0.5606291999999999,0.5677280000000001,0.0,Bearish,Bullish,Bullish,0.00360360000000004,Buy,0.57094,0.56794,0.58094
2025-01-14 12:00:00,0.56104,0.56138,0.55833,0.55908,0.5606208,0.5675553999999999,0.0,Bearish,Bullish,Bullish,0.0023891999999999802,Buy,0.56977,0.56677,0.57977
2025-01-14 16:00:00,0.55908,0.56103,0.55853,0.55904,0.560574,0.5673988000000001,0.0,Bearish,Bullish,Bullish,0.0023929999999999785,Buy,0.56984,0.56684,0.57984
2025-01-14 20:00:00,0.55904,0.56039,0.55895,0.56029,0.5605182,0.5672406,0.0,Bearish,Bullish,Bullish,0.0021183999999999648,Buy,0.56965,0.56665,0.57965
2025-01-15 00:00:00,0.55953,0.56058,0.55926,0.56025,0.5605026,0.5670878666666667,0.0,Bearish,Bullish,Bullish,0.0017588000000000603,Buy,0.56937,0.56637,0.57937
2025-01-15 04:00:00,0.56025,0.56066,0.5597,0.55971,0.56052,0.5669509333333332,0.0,Bearish,Bullish,Bullish,0.004720999999999975,Buy,0.57237,0.56937,0.58237
2025-01-15 08:00:00,0.55971,0.5625,0.5596,0.56183,0.5605356,0.5667759333333333,0.0,Bearish,Bullish,Bullish,0.00467060000000008,Buy,0.57242,0.56942,0.58242
2025-01-15 12:00:00,0.56183,0.56504,0.55997,0.56459,0.5605724,0.5666025333333333,0.0,Bearish,Bullish,Bullish,0.003550199999999948,Buy,0.57138,0.56838,0.58138
2025-01-15 16:00:00,0.56463,0.56464,0.56045,0.56119,0.5606516,0.5664502,0.0,Bearish,Bullish,Bullish,0.0020320000000000338,Buy,0.56994,0.56694,0.57994
2025-01-15 20:00:00,0.56117,0.56196,0.56104,0.56142,0.5606738,0.5662852,0.0,Bearish,Bullish,Bullish,0.0023450000000000415,Buy,0.57028,0.56728,0.58028
2025-01-16 00:00:00,0.56143,0.56325,0.56011,0.56197,0.5606934,0.5661306,0.0,Bearish,Bullish,Bullish,0.001592600000000055,Buy,0.5696,0.5666,0.5796
2025-01-16 04:00:00,0.56198,0.56221,0.55985,0.56,0.5607198,0.5659877333333333,0.0,Bearish,Bullish,Bullish,0.00391459999999999,Buy,0.57201,0.56901,0.58201
2025-01-16 08:00:00,0.56,0.56115,0.55995,0.56031,0.5607006,0.5658406,0.0,Bearish,Bullish,Bullish,0.004637000000000002,Buy,0.57286,0.56986,0.58286
2025-01-16 12:00:00,0.56031,0.56059,0.55817,0.55913,0.5606698,0.5656982,0.0,Bearish,Bullish,Bullish,0.004810599999999998,Buy,0.57321,0.57021,0.58321
2025-01-17 16:00:00,0.55747,0.56144,0.55628,0.55908,0.5599904,0.5648035333333333,0.0,Bearish,Bullish,Bullish,0.004870200000000047,Buy,0.57476,0.57176,0.5847600000000001
2025-01-17 20:00:00,0.55907,0.55947,0.5578,0.55795,0.5598000000000001,0.5646781333333334,0.0,Bearish,Bullish,Bullish,0.0036472000000000726,Buy,0.57374,0.57074,0.58374
2025-01-20 00:00:00,0.5592,0.56024,0.55745,0.56011,0.5596177999999999,0.5645273333333333,0.0,Bearish,Bullish,Bullish,0.0048040000000000305,Buy,0.57508,0.57208,0.58508
2025-01-20 08:00:00,0.56057,0.56221,0.55969,0.56002,0.559482,0.5642555333333333,0.0,Bearish,Bullish,Bullish,0.003828399999999954,Buy,0.57451,0.57151,0.58451
2025-01-20 12:00:00,0.56002,0.56596,0.55987,0.56588,0.5594182,0.5641244666666666,0.0,Bearish,Bullish,Bullish,0.0038567999999998825,Buy,0.5747,0.5717,0.5847
2025-01-20 16:00:00,0.56587,0.56793,0.56318,0.56547,0.5594598000000001,0.5640418666666667,0.0,Bearish,Bullish,Bullish,0.0032105999999999524,Buy,0.57424,0.57124,0.58424
2025-01-20 20:00:00,0.56531,0.5684,0.56514,0.56661,0.5595314,0.5639685333333333,0.0,Bearish,Bullish,Bullish,0.001956599999999975,Buy,0.57319,0.57019,0.58319
2025-01-21 00:00:00,0.56671,0.56886,0.56213,0.56389,0.5596642,0.5639036666666667,0.0,Bearish,Bullish,Bullish,0.0011860000000000204,Buy,0.57267,0.56967,0.58267
2025-01-21 04:00:00,0.56387,0.56674,0.56387,0.56401,0.5597368,0.5638197333333334,0.0,Bearish,Bullish,Bullish,0.002099799999999985,Buy,0.57372,0.57072,0.58372
2025-01-21 12:00:00,0.56312,0.56405,0.56164,0.56383,0.5598796,0.563642,0.0,Bearish,Bullish,Bullish,0.0006655999999999329,Buy,0.57262,0.56962,0.58262
2025-02-06 08:00:00,0.56647,0.56668,0.56513,0.56561,0.5646538,0.5630461333333333,0.0,Bullish,Bullish,Bullish,0.0011896000000000129,Buy,0.57019,0.56719,0.58019
2025-02-07 20:00:00,0.56518,0.56618,0.56505,0.56563,0.5645028,0.5634423333333334,0.0,Bullish,Bullish,Bullish,0.0035338000000000314,Buy,0.5743,0.5713,0.5843
2025-02-10 00:00:00,0.56112,0.5652,0.56105,0.56404,0.5645169999999999,0.5634734666666666,0.0,Bullish,Bullish,Bullish,0.004878599999999955,Buy,0.57587,0.57287,0.58587
2025-02-10 04:00:00,0.56403,0.56614,0.56389,0.5657,0.5644718000000001,0.5634880666666667,0.0,Bullish,Bullish,Bullish,0.004377399999999976,Buy,0.57565,0.57265,0.58565
2025-02-12 08:00:00,0.56539,0.56552,0.56389,0.56404,0.5644269999999999,0.5635076666666666,0.0,Bullish,Bullish,Bullish,0.00488260000000007,Buy,0.57877,0.57577,0.58877
2025-02-12 12:00:00,0.56407,0.56444,0.56035,0.56066,0.564438,0.563522,0.0,Bullish,Bullish,Bullish,0.003837399999999991,Buy,0.57784,0.57484,0.58784
2025-02-12 16:00:00,0.56061,0.56617,0.56002,0.56586,0.5643618,0.5635266,0.0,Bullish,Bullish,Bullish,0.0036160000000000636,Buy,0.57775,0.57475,0.58775
2025-02-13 00:00:00,0.56322,0.56462,0.56274,0.56434,0.5643654,0.5635895333333334,0.0,Bullish,Bullish,Bullish,0.004753000000000007,Buy,0.57921,0.57621,0.58921
2025-02-13 04:00:00,0.56434,0.56613,0.56376,0.56588,0.5643012,0.5636204,0.0,Bullish,Bullish,Bullish,0.0039335999999999816,Buy,0.57858,0.57558,0.58858
2025-02-13 20:00:00,0.56509,0.56791,0.56331,0.56757,0.5649017999999999,0.5637508666666666,0.0,Bullish,Bullish,Bullish,0.0004694000000000642,Buy,0.57537,0.57237,0.5853700000000001
2025-02-14 00:00:00,0.56758,0.56874,0.56652,0.5685,0.5651072,0.5638026666666667,0.0,Bullish,Bullish,Bullish,0.0009567999999999799,Buy,0.5759,0.5729,0.5859
2025-02-14 08:00:00,0.56842,0.57101,0.56832,0.57076,0.5654094000000001,0.5639234666666667,0.0,Bullish,Bullish,Bullish,0.00019279999999999298,Buy,0.57534,0.57234,0.58534
2025-03-05 20:00:00,0.57103,0.57315,0.57035,0.57254,0.5673746000000001,0.5671523999999999,0.0,Bullish,Bearish,Bearish,0.0018388000000000293,Sell,0.56418,0.56718,0.55418
2025-03-06 00:00:00,0.57242,0.57424,0.57196,0.57404,0.5673144000000001,0.5671982,0.0,Bullish,Bearish,Bearish,0.0014695999999999598,Sell,0.56437,0.56737,0.55437
2024-11-20 04:00:00,0.5914,0.59149,0.59025,0.5903,0.5913914,0.5975072666666666,0.0,Bearish,Bearish,Bearish,0.004627800000000071,Sell,0.56517,0.56817,0.5551699999999999
2024-11-20 08:00:00,0.5903,0.59064,0.5882,0.5885,0.5911506000000001,0.5974014666666666,0.0,Bearish,Bearish,Bearish,0.004931799999999931,Sell,0.56464,0.56764,0.55464
2024-11-21 12:00:00,0.58624,0.58796,0.58613,0.58773,0.5895992,0.5965338,0.0,Bearish,Bearish,Bearish,0.004981400000000025,Sell,0.56267,0.56567,0.55267
2024-11-21 16:00:00,0.58773,0.58836,0.58493,0.58647,0.5894106000000001,0.5964099333333334,0.0,Bearish,Bearish,Bearish,0.00344460000000002,Sell,0.5639,0.5669,0.5539
2024-11-21 20:00:00,0.58655,0.58671,0.58572,0.5858,0.5892008,0.5962792,0.0,Bearish,Bearish,Bearish,0.004531599999999969,Sell,0.56254,0.56554,0.55254
2024-11-22 00:00:00,0.58579,0.58606,0.58454,0.58461,0.5890048,0.5961456,0.0,Bearish,Bearish,Bearish,0.0039063999999999766,Sell,0.56287,0.56587,0.55287
2024-11-22 04:00:00,0.58459,0.5848,0.5826,0.58294,0.5887818,0.5960046666666666,0.0,Bearish,Bearish,Bearish,0.0023043999999999842,Sell,0.56417,0.56717,0.5541699999999999
2024-11-22 08:00:00,0.58294,0.5854,0.5822,0.58325,0.5885164,0.5958516,0.0,Bearish,Bearish,Bearish,0.0006758000000000042,Sell,0.56553,0.56853,0.55553
2024-11-22 12:00:00,0.58326,0.58449,0.58262,0.58414,0.5882528,0.5956938666666667,0.0,Bearish,Bearish,Bearish,0.0006194000000000477,Sell,0.56534,0.56834,0.55534
2024-11-22 16:00:00,0.58414,0.58436,0.58161,0.58304,0.5880314,0.5955391999999999,0.0,Bearish,Bearish,Bearish,0.0017188000000000203,Sell,0.56402,0.56702,0.55402
2024-11-22 20:00:00,0.58305,0.58358,0.58242,0.5833,0.5878008,0.5953773333333333,0.0,Bearish,Bearish,Bearish,0.0012827999999999173,Sell,0.56422,0.5672200000000001,0.55422
2024-11-25 00:00:00,0.58526,0.58687,0.58473,0.58616,0.5875714,0.5952189333333334,0.0,Bearish,Bearish,Bearish,0.0018881999999998955,Sell,0.56337,0.56637,0.55337
2024-11-25 04:00:00,0.58615,0.58665,0.58472,0.58522,0.5874688,0.5950775333333334,0.0,Bearish,Bearish,Bearish,0.0008557999999999621,Sell,0.56415,0.56715,0.55415
2024-11-25 08:00:00,0.58522,0.58627,0.58359,0.58503,0.5873248,0.5949312,0.0,Bearish,Bearish,Bearish,0.0019219999999999793,Sell,0.56287,0.56587,0.55287
2024-11-25 12:00:00,0.58503,0.58674,0.58382,0.58653,0.5871642,0.5947921333333334,0.0,Bearish,Bearish,Bearish,0.0016929999999999445,Sell,0.56286,0.56586,0.55286
2024-11-25 16:00:00,0.58653,0.58662,0.58353,0.58404,0.5870406,0.5946620666666667,0.0,Bearish,Bearish,Bearish,0.0033914000000000444,Sell,0.56094,0.56394,0.55094
2024-11-25 20:00:00,0.58405,0.58518,0.58398,0.58439,0.5868572000000001,0.5945332,0.0,Bearish,Bearish,Bearish,0.004852199999999973,Sell,0.55925,0.56225,0.54925
2024-11-26 00:00:00,0.58393,0.58473,0.57968,0.58177,0.5866718,0.5944096,0.0,Bearish,Bearish,Bearish,0.004939199999999921,Sell,0.55888,0.56188,0.54888
2024-11-26 04:00:00,0.58177,0.58462,0.5816,0.58403,0.5865408,0.5942710666666667,0.0,Bearish,Bearish,Bearish,0.0020988000000000673,Sell,0.56146,0.56446,0.55146
2024-11-26 08:00:00,0.58404,0.58473,0.58315,0.58425,0.5864656,0.5941274000000001,0.0,Bearish,Bearish,Bearish,0.002132599999999929,Sell,0.56142,0.56442,0.55142
2024-11-26 12:00:00,0.58423,0.58653,0.58413,0.58437,0.5864102,0.5939893333333334,0.0,Bearish,Bearish,Bearish,0.001703799999999922,Sell,0.56183,0.56483,0.55183
2024-11-26 16:00:00,0.58438,0.58446,0.58177,0.58203,0.586377,0.5938498,0.0,Bearish,Bearish,Bearish,0.0024522000000000155,Sell,0.56107,0.56407,0.55107
2024-11-26 20:00:00,0.58198,0.58339,0.58152,0.58332,0.5863038,0.5936988666666666,0.0,Bearish,Bearish,Bearish,0.004048600000000069,Sell,0.55938,0.56238,0.54938
2024-11-27 00:00:00,0.58329,0.58809,0.58242,0.58738,0.5862466000000001,0.5935597333333333,0.0,Bearish,Bearish,Bearish,0.004381199999999974,Sell,0.55893,0.56193,0.54893
2024-11-27 04:00:00,0.58738,0.58767,0.58449,0.58641,0.5862422,0.5934534666666667,0.0,Bearish,Bearish,Bearish,0.0032184000000000657,Sell,0.55999,0.56299,0.54999
2024-11-27 08:00:00,0.58643,0.59004,0.5864,0.58907,0.5862736000000001,0.5933379999999999,0.0,Bearish,Bearish,Bearish,0.0025298000000000265,Sell,0.56063,0.56363,0.55063
2024-11-27 12:00:00,0.58907,0.59045,0.58792,0.59043,0.586357,0.5932470666666667,0.0,Bearish,Bearish,Bearish,0.0030345999999999984,Sell,0.56008,0.56308,0.55008
2024-11-27 16:00:00,0.59044,0.59077,0.58917,0.59026,0.5864494,0.5931765999999999,0.0,Bearish,Bearish,Bearish,0.002627799999999958,Sell,0.56044,0.56344,0.55044
2024-11-27 20:00:00,0.59027,0.59065,0.58923,0.58924,0.5865148,0.5931115333333333,0.0,Bearish,Bearish,Bearish,0.0023556000000000132,Sell,0.56065,0.56365,0.55065
2024-11-28 00:00:00,0.58925,0.59045,0.58666,0.59014,0.586573,0.5930373333333333,0.0,Bearish,Bearish,Bearish,0.001981400000000022,Sell,0.56096,0.56396,0.55096
2024-11-28 04:00:00,0.59016,0.5902,0.58868,0.58922,0.5866448000000001,0.5929646,0.0,Bearish,Bearish,Bearish,0.000985600000000031,Sell,0.56185,0.56485,0.55185
2024-11-28 08:00:00,0.58923,0.58928,0.58801,0.58893,0.5867013999999999,0.5928825333333334,0.0,Bearish,Bearish,Bearish,0.00040879999999998695,Sell,0.56236,0.56536,0.55236
2024-12-03 20:00:00,0.5888,0.58916,0.5873,0.58751,0.5872658,0.5915770666666667,0.0,Bearish,Bearish,Bearish,0.002683000000000102,Sell,0.5597,0.5627,0.5497
2024-12-04 00:00:00,0.58752,0.5884,0.58635,0.58644,0.5872613999999999,0.5915148,0.0,Bearish,Bearish,Bearish,0.0025236000000000702,Sell,0.5598,0.5628,0.5498
2024-12-04 04:00:00,0.58644,0.58677,0.58308,0.58576,0.5872607999999999,0.5914431333333333,0.0,Bearish,Bearish,Bearish,0.0022016000000000258,Sell,0.56004,0.56304,0.55004
2024-12-04 08:00:00,0.58577,0.58639,0.5839,0.58419,0.58726,0.5913755333333334,0.0,Bearish,Bearish,Bearish,0.0034216000000000246,Sell,0.55877,0.56177,0.54877
2024-12-04 12:00:00,0.5842,0.58441,0.58287,0.5836,0.5872516,0.5912773333333333,0.0,Bearish,Bearish,Bearish,0.004439599999999988,Sell,0.55767,0.56067,0.54767
2024-12-05 04:00:00,0.58636,0.58725,0.5862,0.58722,0.5874048,0.5909388,0.0,Bearish,Bearish,Bearish,0.004833399999999988,Sell,0.55659,0.55959,0.54659
2024-12-05 20:00:00,0.58712,0.58872,0.58617,0.58794,0.587556,0.5906817333333333,0.0,Bearish,Bearish,Bearish,0.004907600000000012,Sell,0.55586,0.55886,0.54586
2024-12-06 00:00:00,0.58771,0.58883,0.58623,0.5864,0.5875842,0.5906165999999999,0.0,Bearish,Bearish,Bearish,0.0028175999999999757,Sell,0.55781,0.56081,0.54781
2024-12-06 08:00:00,0.58594,0.58603,0.58479,0.58512,0.5876624,0.5904712666666666,0.0,Bearish,Bearish,Bearish,0.00018860000000009425,Sell,0.56041,0.56341,0.55041
2024-12-06 16:00:00,0.58692,0.587,0.58214,0.58257,0.5877874,0.5903172000000001,0.0,Bearish,Bearish,Bearish,0.0015408000000000088,Sell,0.55908,0.56208,0.54908
2024-12-06 20:00:00,0.58257,0.58338,0.58209,0.58277,0.5877538,0.5902251333333333,0.0,Bearish,Bearish,Bearish,0.0015340000000000353,Sell,0.55904,0.56204,0.54904
2024-12-09 00:00:00,0.58311,0.58395,0.5825,0.5832,0.5877218,0.5901362666666667,0.0,Bearish,Bearish,Bearish,0.00022820000000001173,Sell,0.56029,0.56329,0.55029
2024-12-09 04:00:00,0.58322,0.58371,0.5804,0.58079,0.5877452,0.5900270666666666,0.0,Bearish,Bearish,Bearish,0.0002525999999999362,Sell,0.56025,0.56325,0.55025
2024-12-09 08:00:00,0.5808,0.58675,0.58064,0.58596,0.5876946,0.5898964666666667,0.0,Bearish,Bearish,Bearish,0.0008099999999999774,Sell,0.55971,0.56271,0.54971
2024-12-19 04:00:00,0.56236,0.56315,0.56184,0.56241,0.5780886,0.5840841999999999,0.0,Bearish,Bullish,Bullish,0.004029399999999961,Buy,0.56794,0.56494,0.57794
2024-12-19 08:00:00,0.56238,0.56582,0.56218,0.56575,0.5776814,0.5839267333333333,0.0,Bearish,Bullish,Bullish,0.004681399999999947,Buy,0.56877,0.56577,0.57877
2024-12-19 12:00:00,0.56576,0.56613,0.56481,0.56525,0.5773324,0.5837938,0.0,Bearish,Bullish,Bullish,0.004841800000000007,Buy,0.5691,0.5661,0.5791000000000001
2024-12-19 16:00:00,0.56527,0.56617,0.56398,0.56407,0.5770216,0.5836542666666666,0.0,Bearish,Bullish,Bullish,0.004854799999999937,Buy,0.56929,0.56629,0.57929
